Trade Date,Buyer,Seller,Compliance Instrument Type,Jurisdiction,Contact CBM,Client Type,Protocol,Vintage Start,Vintage End,Volume,Price,Price for MtM,P&L,Currency,Comment,Fee,Note,Contract Signed,Invoice received ,Delivery Date
2017-11-29,Kitchener,MOECC,CCA,Ontario,,Advisory,,17,17,251000.0,17.38,,-4362380.0,CAD,Auction,0.0,,,,2017-12-21
2017-11-29,Union,MOECC,CCA,Ontario,,Advisory,,20,20,3500000.0,18.89,,-66115000.0,CAD,Auction,0.0,,,,2017-12-21
2017-11-29,Union,MOECC,CCA,Ontario,,Advisory,,17,17,3000000.0,17.38,,-52140000.0,CAD,Auction,0.0,,,,2017-12-21
2017-12-01,Mr Gas,Mercuria,CCA,California,,Advisory,,17,17,6910.0,15.25,,-105377.5,USD,OTC Evo,0.0,,,,2017-12-01
2017-12-08,CertainTeed Corp,BP,CCA,California,,Advisory,,17,17,45000.0,15.0,,-675000.0,USD,OTC Evo,4500.0,,,,2018-02-28
2017-12-08,CertainTeed Corp,BP,CCO,California,,Advisory,TBD,17,17,12391.0,13.9,,-172234.9,USD,OTC Evo,0.0,,,,2018-02-28
2017-12-08,CertainTeed Gypsum Canada,BP,CCA,Quebec,,Advisory,,17,17,5000.0,15.0,,-75000.0,USD,OTC Evo,500.0,,,,2018-02-28
2017-12-08,CertainTeed Gypsum Canada,BP,CCO,Quebec,,Advisory,TBD,17,17,6866.0,13.9,,-95437.4,USD,OTC Evo,0.0,,,,2018-02-28
2018-02-21,Mr Gas,MOECC,CCA,Ontario,,Advisory,,18,18,4000.0,19.9,,-79600.0,CAD,Auction,0.0,,,,2018-03-20
2018-02-21,Kingston,MOECC,CCA,Ontario,,Advisory,,16,16,3707.0,18.44,,-68357.08,CAD,Auction,0.0,,,,2018-03-20
2018-02-21,Kingston,MOECC,CCA,Ontario,,Advisory,,18,18,20735.0,18.44,,-382353.4,CAD,Auction,0.0,,,,2018-03-20
2018-02-21,Kitchener,MOECC,CCA,Ontario,,Advisory,,16,16,11292.0,18.44,,-208224.48,CAD,Auction,0.0,,,,2018-03-20
2018-02-21,Kitchener,MOECC,CCA,Ontario,,Advisory,,18,18,63169.0,18.44,,-1164836.36,CAD,Auction,0.0,,,,2018-03-20
2018-02-21,Union,MOECC,CCA,Ontario,,Advisory,,18,18,3500000.0,18.44,,-64540000.0,CAD,Auction,0.0,,,,2018-03-20
2018-04-12,SouthernX,ACT,EUA,EU,,Trading,,,,1101.0,14.5,,,USD,OTC Direct,500.0,,,,2018-04-16
2018-05-15,Kingston,MOECC,CCA,Ontario,,Advisory,,16,16,30000.0,18.72,,-561600.0,CAD,Auction,0.0,,,,2018-06-11
2018-05-15,Kingston,MOECC,CCA,Ontario,,Advisory,,18,18,30000.0,18.72,,-561600.0,CAD,Auction,0.0,,,,2018-06-11
2018-05-15,Kitchener,MOECC,CCA,Ontario,,Advisory,,16,16,130000.0,18.72,,-2433600.0,CAD,Auction,0.0,,,,2018-06-11
2018-05-15,Kitchener,MOECC,CCA,Ontario,,Advisory,,18,18,130000.0,18.72,,-2433600.0,CAD,Auction,0.0,,,,2018-06-11
2018-06-15,Kruger,BP,CCA,Quebec,,Advisory,,14,14,-57044.0,14.7,,838546.8,USD,OTC Evo,2852.0,,,,2018-07-30
2018-06-15,Kruger,BP,CCA,Quebec,,Advisory,,16,16,-26305.0,14.65,,385368.25,USD,OTC Evo,1315.0,,,,2018-07-30
2018-06-19,Kruger Product LP,ClearBlue,CCA,Quebec,,Advisory,,18,18,30000.0,16.88,,-506250.0,USD,OTC ClearBlue,0.0,,,,2018-10-15
2018-06-19,Mercuria,ClearBlue,CCA,Quebec,,Advisory,,18,18,-30000.0,16.93,,507750.0,USD,OTC ClearBlue,0.0,,,,2018-10-15
2018-06-27,Kruger,Mercuria,CCA,Quebec,,Advisory,,16,16,-25000.0,14.9,,,USD,OTC Direct,1250.0,,,,2018-07-30
2018-08-07,Francis Fuels,Mercuria,CCA,Quebec,,Advisory,,17,17,19004.0,19.99,,,CAD,OTC Direct,1520.0,,,,2018-08-30
2018-09-20,Arcelor Long Products LP,BP,CCA,California,,Advisory,,17,17,-255000.0,15.42,,,USD,OTC Direct,12146.0,,,,2018-10-01
2018-09-20,Arcelor Long Products LP,BP,CCO,California,,Advisory,TBD,TBD,TBD,255000.0,14.55,,,USD,OTC Direct,12146.0,,,,2018-10-01
2018-09-20,Arcelor Long Products LP,BP,CCO,California,,Advisory,TBD,TBD,TBD,95000.0,14.95,17.15,,USD,OTC Direct,22886.0,,,,2019-10-01
2018-09-20,Arcelor Long Products LP,BP,CCO,California,,Advisory,TBD,TBD,TBD,85000.0,15.55,17.1,,USD,OTC Direct,14421.0,,,,2020-10-01
2018-09-20,Arcelor Long Products LP,BP,CCO,California,,Advisory,TBD,TBD,TBD,85000.0,16.1,28.0,,USD,OTC Direct,110759.0,,,,2021-10-01
2018-09-20,CRH,BP,CCA,California,,Advisory,,17,17,-171500.0,15.45,,,USD,OTC Direct,7052.0,,,,2018-10-01
2018-09-20,CRH,BP,CCO,California,,Advisory,TBD,TBD,TBD,184000.0,14.75,,,USD,OTC Direct,7052.0,,,,2018-10-01
2018-09-20,CRH,BP,CCO,California,,Advisory,TBD,TBD,TBD,55000.0,14.95,17.17,,USD,OTC Direct,13370.0,,,,2019-10-01
2018-09-20,CRH,BP,CCO,California,,Advisory,TBD,TBD,TBD,55000.0,15.55,17.1,,USD,OTC Direct,9335.0,,,,2020-10-01
2018-09-20,CRH,BP,CCO,California,,Advisory,TBD,TBD,TBD,55000.0,16.1,28.0,,USD,OTC Direct,71668.0,,,,2021-10-01
2018-09-27,Conrad Miousse et Fils,ClearBlue,CCA,Quebec,,Advisory,,17,17,-622.0,20.4,,12688.8,CAD,OTC ClearBlue,1000.0,,,,2018-09-28
2018-09-27,Propane Raymond,ClearBlue,CCA,Quebec,,Advisory,,17,17,-8455.0,20.5,,173327.5,CAD,OTC ClearBlue,845.5,,,,2018-09-28
2018-09-27,"Société ferroviaire et portuaire de Pointe-Noire, s.e.c.",ClearBlue,CCA,Quebec,,Advisory,,17,17,-100.0,20.4,,2040.0,CAD,OTC ClearBlue,1000.0,,,,2018-09-28
2018-09-27,4REFUEL CANADA LP,ClearBlue,CCA,Quebec,,Advisory,,17,17,-23170.0,20.4,,472668.0,CAD,OTC ClearBlue,2317.0,,,,2018-09-28
2018-09-27,Silicium Quebec,ClearBlue,CCA,Quebec,,Advisory,,17,17,-4000.0,20.4,,81600.0,CAD,OTC ClearBlue,1000.0,,,,2018-09-28
2018-09-27,Kruger Product LP,ClearBlue,CCA,Quebec,,Advisory,,17,17,36347.0,20.2,,-734209.4,CAD,OTC ClearBlue,0.0,,,,2018-09-28
2018-09-27,Kruger Product LP,ClearBlue,CCA,Quebec,,Advisory,,18,18,35000.0,19.65,,-687750.0,CAD,OTC ClearBlue,0.0,,,,2018-10-15
2018-09-27,Mercuria,ClearBlue,CCA,Quebec,,Advisory,,18,18,-35000.0,19.7,,689500.0,CAD,OTC ClearBlue,0.0,,,,2018-10-15
2018-10-04,Arcelor Long Products LP,BP,CCA,California,,Advisory,,,,-54300.0,,28.0,,USD,OTC Direct,5430.0,,,,2018-10-15
